"Date","Price","Open","High","Low","Vol.","Change %"
"06/04/2025","47,043.0","47,039.0","47,187.0","46,963.0","3.34K","0.13%"
"06/03/2025","46,983.0","46,583.0","46,983.0","46,512.0","7.97K","1.35%"
"06/02/2025","46,356.5","46,226.0","46,399.0","46,189.0","11.37K","-0.51%"
"05/30/2025","46,592.0","46,636.0","46,750.0","46,527.0","11.28K","-0.35%"
"05/29/2025","46,756.0","47,324.0","47,380.0","46,579.0","13.02K","0.04%"
"05/28/2025","46,736.0","46,710.0","47,000.0","46,570.0","7.66K","0.53%"
"05/27/2025","46,491.0","46,135.0","46,458.0","46,077.0","10.36K","1.65%"
"05/23/2025","45,737.0","46,232.0","46,255.0","45,339.0","9.04K","-1.23%"
"05/22/2025","46,308.5","46,476.0","46,530.0","46,182.0","7.15K","-1.44%"
"05/21/2025","46,986.0","46,826.0","46,985.0","46,727.0","9.10K","-0.84%"
"05/20/2025","47,384.5","47,352.0","47,520.0","47,303.0","6.72K","0.13%"
"05/19/2025","47,324.0","47,079.0","47,351.0","46,774.0","11.26K","-0.51%"
"05/16/2025","47,567.0","47,250.0","47,562.0","47,250.0","9.12K","0.60%"
"05/15/2025","47,283.0","47,014.0","47,321.0","46,881.0","23.36K","0.17%"
"05/14/2025","47,201.0","47,178.0","47,201.0","46,878.0","6.21K","-0.12%"
"05/13/2025","47,258.0","46,965.0","47,400.0","46,890.0","12.48K","1.05%"
"05/12/2025","46,765.5","46,585.0","47,318.0","46,560.0","18.41K","3.21%"
"05/09/2025","45,312.0","45,592.0","45,639.0","45,200.0","8.42K","-0.36%"
"05/08/2025","45,474.0","45,423.0","45,791.0","45,000.0","12.54K","1.70%"
"05/07/2025","44,712.0","44,857.0","45,036.0","44,629.0","11.00K","-0.31%"
"05/06/2025","44,853.0","45,099.0","45,099.0","44,446.0","19.48K","-1.17%"
